Group Op Report
Name,Num Calls Aggregated,Num TC Eligible Ops,Num Ops Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"/",12602,363,110,10546848460,10546848460.0,10546848460,10546848460,269745510,269745510.0,269745510,269745510,6058827466,6058827466.0,6058827466,6058827466,3065538514,3065538514.0,3065538514,3065538514
"/Thread::_bootstrap/",4,0,0,59695830,59695830.0,59695830,59695830,0,0.0,0,0,46091625,46091625.0,46091625,46091625,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/",4,0,0,59695830,59695830.0,59695830,59695830,0,0.0,0,0,46091625,46091625.0,46091625,46091625,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/",4,0,0,59695830,59695830.0,59695830,59695830,0,0.0,0,0,46091625,46091625.0,46091625,46091625,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_pin_memory_loop/",4,0,0,59695830,59695830.0,59695830,59695830,0,0.0,0,0,46091625,46091625.0,46091625,46091625,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_pin_memory_loop/Queue::get/",2,0,0,75069,75069.0,75069,75069,0,0.0,0,0,75069,75069.0,75069,75069,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_pin_memory_loop/Queue::get/rebuild_tensor/",2,0,0,75069,75069.0,75069,75069,0,0.0,0,0,75069,75069.0,75069,75069,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_pin_memory_loop/Queue::get/rebuild_tensor/_rebuild_tensor/",2,0,0,75069,75069.0,75069,75069,0,0.0,0,0,75069,75069.0,75069,75069,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_pin_memory_loop/pin_memory/",1,0,0,19511977,19511977.0,19511977,19511977,0,0.0,0,0,5907772,5907772.0,5907772,5907772,0,0.0,0,0
"/module/",12598,363,110,10487152630,10487152630.0,10487152630,10487152630,269745510,269745510.0,269745510,269745510,6012735841,6012735841.0,6012735841,6012735841,3065538514,3065538514.0,3065538514,3065538514
"/module/main/",12598,363,110,10487152630,10487152630.0,10487152630,10487152630,269745510,269745510.0,269745510,269745510,6012735841,6012735841.0,6012735841,6012735841,3065538514,3065538514.0,3065538514,3065538514
"/module/main/DataLoader::new_init/",1,0,0,4760,4760.0,4760,4760,0,0.0,0,0,4760,4760.0,4760,4760,0,0.0,0,0
"/module/main/DataLoader::new_init/DataLoader::__init__/",1,0,0,4760,4760.0,4760,4760,0,0.0,0,0,4760,4760.0,4760,4760,0,0.0,0,0
"/module/main/DataLoader::new_iter/",2,0,0,3129530044,3129530044.0,3129530044,3129530044,0,0.0,0,0,3129530044,3129530044.0,3129530044,3129530044,0,0.0,0,0
"/module/main/model_eval::load_model/",3760,0,0,2680463248,2680463248.0,2680463248,2680463248,6896044,6896044.0,6896044,6896044,922190314,922190314.0,922190314,922190314,362910452,362910452.0,362910452,362910452
