Op Type Summary Report
Op Type,# Ops,# Calls,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"DataLoader",2,2,3129530044,1564765022.0,142421813,2987108231,0,0.0,0,0,3129530044,1564765022.0,142421813,2987108231,0,0.0,0,0
"adaptive_avg_pool2d",3,3,621274,207091.3,186878,245318,46368,15456.0,15424,15488,575374,191791.3,175018,223458,0,0.0,0,0
"avg_pool2d",9,9,413335,45926.1,30750,132438,554658,61628.7,30432,105377,303706,33745.1,20670,109318,0,0.0,0,0
"batch_norm",363,363,179199444,493662.4,385596,1220408,16083262,44306.5,4736,279841,172329706,474737.5,372036,1181979,0,0.0,0,0
"cat",186,186,8441555,45384.7,36830,118979,10947223,58856.0,6912,281217,6247838,33590.5,26850,80199,0,0.0,0,0
"conv2d",360,360,2794372334,7762145.4,71079,2390363018,201959564,560998.8,28864,20228081,172231466,478420.7,57839,81564983,2333885107,6483014.2,0,2215361376
"copy_",4362,4362,330726197,75819.9,3950,10612035,6366262,1459.5,0,195488,301407484,69098.5,3950,10612035,0,0.0,0,0
"cpu",3,3,167048,55682.7,48300,69169,6496,2165.3,1856,2400,76109,25369.7,20620,32209,0,0.0,0,0
"cuda",2184,2184,2028935161,928999.6,29020,1935948088,12579059,5759.6,1151,1725860,261496578,119732.9,16480,220431800,0,0.0,0,0
"cudaMemcpyAsync_v3020",605,605,8353251,13807.0,11240,28719,924043,1527.3,1343,2176,0,0.0,0,0,0,0.0,0,0
"cudaStreamSynchronize_v3020",605,605,1043090,1724.1,1170,2720,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"fill_",1455,1455,7645092,5254.4,3990,30559,0,0.0,0,0,7645092,5254.4,3990,30559,0,0.0,0,0
"float",3,3,3027121,1009040.3,34370,2956581,220385,73461.7,72769,74624,159710,53236.7,21040,116560,0,0.0,0,0
"get_device",3,3,5290,1763.3,1670,1850,0,0.0,0,0,5290,1763.3,1670,1850,0,0.0,0,0
"linear",3,3,2045790,681930.0,281628,1476505,35647,11882.3,9856,13312,831954,277318.0,245148,339078,1325316,441772.0,43681,1210403
"load",6,6,1569788916,261631486.0,197762585,371979104,4906929,817821.5,0,2454260,1531845729,255307621.5,197762585,351352964,730328091,121721348.5,0,367417639
"manual_seed",3,3,330196,110065.3,27369,275107,0,0.0,0,0,326346,108782.0,25269,275107,0,0.0,0,0
"max_pool2d",3,3,1974609,658203.0,390006,1049509,707426,235808.7,231712,239457,1931320,643773.3,377616,1031040,0,0.0,0,0
"normal_",360,360,102060892,283502.5,43930,2556625,0,0.0,0,0,102060892,283502.5,43930,2556625,0,0.0,0,0
"numpy",3,3,26319,8773.0,5990,11349,0,0.0,0,0,26319,8773.0,5990,11349,0,0.0,0,0
"ones",363,363,2845279,7838.2,6680,33310,0,0.0,0,0,2845279,7838.2,6680,33310,0,0.0,0,0
"pin_memory",1,1,19511977,19511977.0,19511977,19511977,0,0.0,0,0,5907772,5907772.0,5907772,5907772,0,0.0,0,0
"relu",363,363,155370910,428019.0,315216,990800,15324550,42216.4,2880,276320,151277230,416741.7,304346,966871,0,0.0,0,0
"set_",1,1,27000,27000.0,27000,27000,0,0.0,0,0,27000,27000.0,27000,27000,0,0.0,0,0
"set_num_threads",1,1,40108784,40108784.0,40108784,40108784,0,0.0,0,0,40108784,40108784.0,40108784,40108784,0,0.0,0,0
"set_vital",1,1,4760,4760.0,4760,4760,0,0.0,0,0,4760,4760.0,4760,4760,0,0.0,0,0
"sigmoid",3,3,132777,44259.0,33159,55479,7681,2560.3,2432,2753,89328,29776.0,22490,37159,0,0.0,0,0
"tensor",727,727,6443666,8863.4,7370,53130,0,0.0,0,0,6443666,8863.4,7370,53130,0,0.0,0,0
"uniform_",372,372,157547513,423514.8,4180,7589925,0,0.0,0,0,157547513,423514.8,4180,7589925,0,0.0,0,0
"view",4,4,59639,14909.8,7670,29389,0,0.0,0,0,59639,14909.8,7670,29389,0,0.0,0,0
"zero_",1089,1089,3235188,2970.8,2290,10079,0,0.0,0,0,3235188,2970.8,2290,10079,0,0.0,0,0
"zeros",366,366,2250350,6148.5,5070,50720,0,0.0,0,0,2250350,6148.5,5070,50720,0,0.0,0,0
