Op Type Summary Report
Op Type,# Ops,# Calls,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"adaptive_avg_pool2d",1,1,230788,230788.0,230788,230788,19232,19232.0,19232,19232,218258,218258.0,218258,218258,0,0.0,0,0
"avg_pool2d",3,3,137468,45822.7,32099,70779,236608,78869.3,37248,130848,101588,33862.7,21259,56919,0,0.0,0,0
"batch_norm",122,122,55447667,454489.1,326157,895421,6771767,55506.3,5248,343649,53621155,439517.7,312967,868401,40640,333.1,0,40640
"cat",62,62,3120659,50333.2,37769,155749,4616275,74456.0,9120,346722,2330029,37581.1,27539,120569,0,0.0,0,0
"conv2d",120,120,2253199615,18776663.5,91829,1913050124,181497339,1512477.8,27872,15739642,125980217,1049835.1,73670,73609800,1186976429,9891470.2,3392,1088627517
"copy_",1461,1461,190315849,130264.1,3680,22781661,0,0.0,0,0,190315849,130264.1,3680,22781661,0,0.0,0,0
"cpu",1,1,60919,60919.0,60919,60919,2176,2176.0,2176,2176,29820,29820.0,29820,29820,0,0.0,0,0
"cuda",735,735,2386489685,3246924.7,28560,2352590559,5065746,6892.2,1183,2392137,17805366,24225.0,15790,4596739,0,0.0,0,0
"dropout",1,1,153448,153448.0,153448,153448,0,0.0,0,0,153448,153448.0,153448,153448,0,0.0,0,0
"fill_",487,487,2254676,4629.7,3630,23670,0,0.0,0,0,2254676,4629.7,3630,23670,0,0.0,0,0
"linear",2,2,735742434,367871217.0,244568,735497866,20385,10192.5,6944,13441,11228021,5614010.5,219029,11008992,735068927,367534463.5,47808,735021119
"load",2,2,409955827,204977913.5,193108662,216847165,0,0.0,0,0,409955827,204977913.5,193108662,216847165,0,0.0,0,0
"manual_seed",1,1,194128,194128.0,194128,194128,0,0.0,0,0,194128,194128.0,194128,194128,0,0.0,0,0
"max_pool2d",1,1,730683,730683.0,730683,730683,290593,290593.0,290593,290593,711163,711163.0,711163,711163,0,0.0,0,0
"normal_",120,120,34222041,285183.7,44149,2568266,0,0.0,0,0,34222041,285183.7,44149,2568266,0,0.0,0,0
"numpy",1,1,6380,6380.0,6380,6380,0,0.0,0,0,6380,6380.0,6380,6380,0,0.0,0,0
"ones",122,122,956171,7837.5,6390,37520,0,0.0,0,0,956171,7837.5,6390,37520,0,0.0,0,0
"relu",121,121,48463112,400521.6,302687,805743,6436408,53193.5,2336,342530,46976441,388235.0,287027,781723,0,0.0,0,0
"sigmoid",1,1,66949,66949.0,66949,66949,2816,2816.0,2816,2816,54159,54159.0,54159,54159,0,0.0,0,0
"tensor",243,243,2185621,8994.3,6830,31120,0,0.0,0,0,2185621,8994.3,6830,31120,0,0.0,0,0
"uniform_",126,126,57492538,456290.0,4180,7205604,0,0.0,0,0,57492538,456290.0,4180,7205604,0,0.0,0,0
"view",2,2,30379,15189.5,13099,17280,0,0.0,0,0,30379,15189.5,13099,17280,0,0.0,0,0
"zero_",366,366,904530,2471.4,1960,8440,0,0.0,0,0,904530,2471.4,1960,8440,0,0.0,0,0
"zeros",122,122,775692,6358.1,5020,47970,0,0.0,0,0,775692,6358.1,5020,47970,0,0.0,0,0
