Op Type Summary Report
Op Type,# Ops,# Calls,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"CatArrayBatchedCopy",7,7,104479,14925.6,5170,38169,259968,37138.3,28096,48064,0,0.0,0,0,0,0.0,0,0
"DataLoader",2,2,1891514367,945757183.5,147632651,1743881716,0,0.0,0,0,1891514367,945757183.5,147632651,1743881716,0,0.0,0,0
"NCCL",31,31,777483035,25080097.9,310,777091398,11000380,354851.0,0,4628394,214035932,6904384.9,310,213880953,697215499,22490822.5,0,697215499
"adaptive_avg_pool2d",5,5,2743495,548699.0,177258,1948463,42144,8428.8,6208,14848,1109070,221814.0,164318,379247,0,0.0,0,0
"avg_pool2d",15,15,19843059,1322870.6,35010,18774815,371937,24795.8,6688,94336,834225,55615.0,24780,191498,0,0.0,0,0
"batch_norm",605,605,922405076,1524636.5,353337,115429435,10718449,17716.4,3616,255969,486132931,803525.5,339537,115375985,0,0.0,0,0
"cat",310,310,282185052,910274.4,37260,95822318,7506166,24213.4,3296,256545,18390314,59323.6,27010,646244,0,0.0,0,0
"clear_autocast_cache",4,4,12060,3015.0,2370,4620,0,0.0,0,0,12060,3015.0,2370,4620,0,0.0,0,0
"conv2d",600,600,22126974203,36878290.3,71929,6694127961,541849039,903081.7,27776,19367116,8172775613,13621292.7,58069,4132362098,12076083961,20126806.6,0,2924235015
"copy_",2915,2915,293610184,100723.9,3620,25019250,1981015,679.6,0,8992,285788472,98040.6,3620,25019250,0,0.0,0,0
"cpu",2,2,128969,64484.5,60160,68809,3711,1855.5,1664,2047,65399,32699.5,26340,39059,0,0.0,0,0
"cuda",1463,1463,1639047120,1120333.0,28429,1571927908,8447771,5774.3,1183,1631495,31999053,21872.2,15989,4838337,0,0.0,0,0
"cudaMemcpyAsync_v3020",249,249,3561344,14302.6,11280,86589,1045180,4197.5,1471,238689,0,0.0,0,0,0,0.0,0,0
"cudaStreamSynchronize_v3020",242,242,410353,1695.7,1160,5360,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"cudaStreamWaitEvent_v3020",12,12,84908,7075.7,2550,11390,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"dropout",1,1,169288,169288.0,169288,169288,0,0.0,0,0,169288,169288.0,169288,169288,0,0.0,0,0
"fill_",972,972,5009205,5153.5,3660,122589,0,0.0,0,0,5009205,5153.5,3660,122589,0,0.0,0,0
"float",2,2,1315759,657879.5,53920,1261839,135361,67680.5,67296,68065,73790,36895.0,29690,44100,0,0.0,0,0
"get_autocast_gpu_dtype",4,4,70899,17724.8,9150,23189,0,0.0,0,0,70899,17724.8,9150,23189,0,0.0,0,0
"get_device",6,6,17550,2925.0,1440,5900,0,0.0,0,0,17550,2925.0,1440,5900,0,0.0,0,0
"is_autocast_cache_enabled",4,4,16060,4015.0,3150,4740,0,0.0,0,0,16060,4015.0,3150,4740,0,0.0,0,0
"linear",6,6,68850936,11475156.0,240638,45355482,74528,12421.3,6752,14272,1600106,266684.3,216848,441126,67496800,11249466.7,48640,45055327
"load",4,4,980965695,245241423.8,190630784,373243509,2533338,633334.5,0,2533338,962864777,240716194.2,190630784,355142591,368174150,92043537.5,0,368174150
"manual_seed",2,2,351496,175748.0,154198,197298,0,0.0,0,0,338886,169443.0,141588,197298,0,0.0,0,0
"max_pool2d",5,5,2856864,571372.8,371267,1330448,434882,86976.4,47873,211009,2761014,552202.8,357377,1299558,0,0.0,0,0
"normal_",240,240,68009688,283373.7,44680,2586537,0,0.0,0,0,68009688,283373.7,44680,2586537,0,0.0,0,0
"numpy",2,2,17730,8865.0,5460,12270,0,0.0,0,0,17730,8865.0,5460,12270,0,0.0,0,0
"ones",243,243,2010545,8273.8,6490,31150,0,0.0,0,0,2010545,8273.8,6490,31150,0,0.0,0,0
"pin_memory",1,1,21115154,21115154.0,21115154,21115154,0,0.0,0,0,4825777,4825777.0,4825777,4825777,0,0.0,0,0
"relu",605,605,322741660,533457.3,281457,1842174,9263722,15311.9,2432,251712,313020517,517389.3,270127,1811424,0,0.0,0,0
"set_",1,1,27230,27230.0,27230,27230,0,0.0,0,0,27230,27230.0,27230,27230,0,0.0,0,0
"set_num_threads",1,1,44258791,44258791.0,44258791,44258791,0,0.0,0,0,44258791,44258791.0,44258791,44258791,0,0.0,0,0
"set_vital",1,1,6040,6040.0,6040,6040,0,0.0,0,0,6040,6040.0,6040,6040,0,0.0,0,0
"sigmoid",2,2,141299,70649.5,48220,93079,5791,2895.5,2784,3007,96739,48369.5,36760,59979,0,0.0,0,0
"tensor",486,486,4116168,8469.5,6890,46049,0,0.0,0,0,4116168,8469.5,6890,46049,0,0.0,0,0
"uniform_",250,250,116148646,464594.6,3940,7072488,0,0.0,0,0,116148646,464594.6,3940,7072488,0,0.0,0,0
"view",6,6,1542067,257011.2,7630,1488127,0,0.0,0,0,1542067,257011.2,7630,1488127,0,0.0,0,0
"zero_",729,729,2078505,2851.2,2010,13920,0,0.0,0,0,2078505,2851.2,2010,13920,0,0.0,0,0
"zeros",244,244,1533418,6284.5,4620,28289,0,0.0,0,0,1533418,6284.5,4620,28289,0,0.0,0,0
