Op Type Summary Report
Op Type,# Ops,# Calls,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"adaptive_avg_pool2d",1,1,216878,216878.0,216878,216878,19008,19008.0,19008,19008,203189,203189.0,203189,203189,0,0.0,0,0
"avg_pool2d",3,3,168970,56323.3,42020,74850,233409,77803.0,36544,130272,129030,43010.0,28730,61360,0,0.0,0,0
"batch_norm",122,122,54489791,446637.6,320347,971031,6762458,55430.0,5248,344609,52605078,431189.2,306807,937271,40512,332.1,0,40512
"cat",62,62,3254161,52486.5,38279,127039,4617552,74476.6,8896,346913,2432261,39230.0,27509,95639,0,0.0,0,0
"conv2d",120,120,2207125639,18392713.7,91739,1870280811,180595804,1504965.0,27840,15738808,127417822,1061815.2,73729,71401435,1158671981,9655599.8,3679,1063573759
"copy_",1461,1461,184038854,125967.7,3580,25199869,0,0.0,0,0,184038854,125967.7,3580,25199869,0,0.0,0,0
"cpu",1,1,56040,56040.0,56040,56040,2016,2016.0,2016,2016,27670,27670.0,27670,27670,0,0.0,0,0
"cuda",735,735,2628457730,3576133.0,28610,2595427361,5020406,6830.5,1183,2460425,205351975,279390.4,15750,192293939,0,0.0,0,0
"dropout",1,1,156479,156479.0,156479,156479,0,0.0,0,0,156479,156479.0,156479,156479,0,0.0,0,0
"fill_",487,487,2328906,4782.1,3730,24730,0,0.0,0,0,2328906,4782.1,3730,24730,0,0.0,0,0
"linear",2,2,703579676,351789838.0,252457,703327219,20349,10174.5,6944,13405,4247250,2123625.0,229977,4017273,702970944,351485472.0,48064,702922880
"load",2,2,377153475,188576737.5,181070951,196082524,0,0.0,0,0,377153475,188576737.5,181070951,196082524,0,0.0,0,0
"manual_seed",1,1,432046,432046.0,432046,432046,0,0.0,0,0,432046,432046.0,432046,432046,0,0.0,0,0
"max_pool2d",1,1,1671644,1671644.0,1671644,1671644,293057,293057.0,293057,293057,1641574,1641574.0,1641574,1641574,0,0.0,0,0
"normal_",120,120,34174742,284789.5,43749,2568627,0,0.0,0,0,34174742,284789.5,43749,2568627,0,0.0,0,0
"numpy",1,1,5780,5780.0,5780,5780,0,0.0,0,0,5780,5780.0,5780,5780,0,0.0,0,0
"ones",122,122,978003,8016.4,6280,87860,0,0.0,0,0,978003,8016.4,6280,87860,0,0.0,0,0
"relu",121,121,48242206,398695.9,292628,1354388,6419067,53050.1,2368,341345,46741191,386290.8,278548,1330178,0,0.0,0,0
"sigmoid",1,1,66869,66869.0,66869,66869,2720,2720.0,2720,2720,55029,55029.0,55029,55029,0,0.0,0,0
"tensor",243,243,1949147,8021.2,6580,50099,0,0.0,0,0,1949147,8021.2,6580,50099,0,0.0,0,0
"uniform_",126,126,57659781,457617.3,4310,7189714,0,0.0,0,0,57659781,457617.3,4310,7189714,0,0.0,0,0
"view",2,2,28509,14254.5,12040,16469,0,0.0,0,0,28509,14254.5,12040,16469,0,0.0,0,0
"zero_",366,366,860872,2352.1,1830,10230,0,0.0,0,0,860872,2352.1,1830,10230,0,0.0,0,0
"zeros",122,122,792424,6495.3,4900,87489,0,0.0,0,0,792424,6495.3,4900,87489,0,0.0,0,0
