Op Type Summary Report
Op Type,# Ops,# Calls,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"CatArrayBatchedCopy",7,7,89369,12767.0,5390,31690,260321,37188.7,27936,48161,0,0.0,0,0,0,0.0,0,0
"DataLoader",2,2,3513999810,1756999905.0,39706596,3474293214,0,0.0,0,0,3513999810,1756999905.0,39706596,3474293214,0,0.0,0,0
"NCCL",31,31,644354018,20785613.5,260,643978551,9818328,316720.3,0,4065291,262399394,8464496.6,260,262259805,172504269,5564653.8,0,172504269
"adaptive_avg_pool2d",5,5,1707856,341571.2,180959,701254,43073,8614.6,4992,16224,1625987,325197.4,168849,680124,0,0.0,0,0
"avg_pool2d",15,15,18677339,1245155.9,43769,16581968,410882,27392.1,6144,104353,1098710,73247.3,30369,147568,0,0.0,0,0
"batch_norm",606,606,865967258,1428988.9,344706,98578556,11707413,19319.2,3392,278849,374429392,617870.3,331326,8476212,40352,66.6,0,40352
"cat",310,310,80949857,261128.6,36209,16093203,8195298,26436.4,3104,281441,19986865,64473.8,26109,493985,0,0.0,0,0
"clear_autocast_cache",4,4,20080,5020.0,4110,7150,0,0.0,0,0,20080,5020.0,4110,7150,0,0.0,0,0
"conv2d",600,600,22508264903,37513774.8,90709,6937542379,576772197,961287.0,27456,19911821,7442667283,12404445.5,72850,3842439935,7456034333,12426723.9,1600,1702659324
"copy_",2915,2915,591052639,202762.5,3560,20258655,1984496,680.8,0,9152,583193179,200066.3,3560,20258655,0,0.0,0,0
"cpu",2,2,284828,142414.0,59220,225608,4256,2128.0,1760,2496,174238,87119.0,23170,151068,0,0.0,0,0
"cuda",1463,1463,72249898,49384.8,28660,5568459,8632132,5900.3,1152,1732198,32175871,21993.1,15940,5551649,0,0.0,0,0
"cudaMemcpyAsync_v3020",249,249,3594485,14435.7,11090,73439,1108900,4453.4,1472,295905,0,0.0,0,0,0,0.0,0,0
"cudaStreamSynchronize_v3020",242,242,433126,1789.8,1220,4600,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"cudaStreamWaitEvent_v3020",12,12,93070,7755.8,4610,15720,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"dropout",1,1,166329,166329.0,166329,166329,0,0.0,0,0,166329,166329.0,166329,166329,0,0.0,0,0
"fill_",972,972,4737880,4874.4,3540,23460,0,0.0,0,0,4737880,4874.4,3540,23460,0,0.0,0,0
"float",2,2,1282109,641054.5,56240,1225869,149792,74896.0,74848,74944,76160,38080.0,25720,50440,0,0.0,0,0
"get_device",6,6,20030,3338.3,1870,6780,0,0.0,0,0,20030,3338.3,1870,6780,0,0.0,0,0
"linear",6,6,6986140024,1164356670.7,229347,2620637606,75487,12581.2,6784,14303,1778090780,296348463.3,206838,661599971,6983878454,1163979742.3,54624,2620088901
"load",4,4,963388110,240847027.5,194314727,354275239,2528712,632178.0,0,2528712,943422340,235855585.0,194314727,334309469,349453434,87363358.5,0,349453434
"manual_seed",2,2,180938,90469.0,81219,99719,0,0.0,0,0,153849,76924.5,70460,83389,0,0.0,0,0
"max_pool2d",5,5,3136041,627208.2,361696,1174619,476066,95213.2,36224,232929,3044672,608934.4,348016,1149169,0,0.0,0,0
"normal_",240,240,68379130,284913.0,44840,2574806,0,0.0,0,0,68379130,284913.0,44840,2574806,0,0.0,0,0
"numpy",2,2,26350,13175.0,5750,20600,0,0.0,0,0,26350,13175.0,5750,20600,0,0.0,0,0
"ones",243,243,1910054,7860.3,6630,46229,0,0.0,0,0,1910054,7860.3,6630,46229,0,0.0,0,0
"pin_memory",1,1,2343799707,2343799707.0,2343799707,2343799707,0,0.0,0,0,6055716,6055716.0,6055716,6055716,0,0.0,0,0
"relu",605,605,326927610,540376.2,286888,2595076,10254752,16950.0,2400,277025,317123823,524171.6,276238,2565736,0,0.0,0,0
"set_",1,1,68580,68580.0,68580,68580,0,0.0,0,0,68580,68580.0,68580,68580,0,0.0,0,0
"set_num_threads",1,1,48417336,48417336.0,48417336,48417336,0,0.0,0,0,48417336,48417336.0,48417336,48417336,0,0.0,0,0
"set_vital",1,1,8850,8850.0,8850,8850,0,0.0,0,0,8850,8850.0,8850,8850,0,0.0,0,0
"sigmoid",2,2,228678,114339.0,49770,178908,6112,3056.0,2752,3360,159518,79759.0,37800,121718,0,0.0,0,0
"tensor",486,486,4086564,8408.6,6630,131109,0,0.0,0,0,4086564,8408.6,6630,131109,0,0.0,0,0
"uniform_",250,250,96678769,386715.1,3960,6936796,0,0.0,0,0,96678769,386715.1,3960,6936796,0,0.0,0,0
"view",6,6,113580,18930.0,8050,48770,0,0.0,0,0,113580,18930.0,8050,48770,0,0.0,0,0
"zero_",729,729,1828081,2507.7,1820,12060,0,0.0,0,0,1828081,2507.7,1820,12060,0,0.0,0,0
"zeros",244,244,1449424,5940.3,5120,23990,0,0.0,0,0,1449424,5940.3,5120,23990,0,0.0,0,0
