Group Op Report
Name,Num Calls Aggregated,Num TC Eligible Ops,Num Ops Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/",48,12,8,687829851,687829851.0,687829851,687829851,56402095,56402095.0,56402095,56402095,136914997,136914997.0,136914997,136914997,472332156,472332156.0,472332156,472332156
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/",12,12,8,666978087,666978087.0,666978087,666978087,54941997,54941997.0,54941997,54941997,116880649,116880649.0,116880649,116880649,472332156,472332156.0,472332156,472332156
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/",4,4,0,18483778041,18483778041.0,18483778041,18483778041,14971611,14971611.0,14971611,14971611,6793923281,6793923281.0,6793923281,6793923281,6471971031,6471971031.0,6471971031,6471971031
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/",1624,464,218,6356723525,6356723525.0,6356723525,6356723525,348984161,348984161.0,348984161,348984161,1986053428,1986053428.0,1986053428,1986053428,1977730983,1977730983.0,1977730983,1977730983
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/",1624,464,218,6356723525,6356723525.0,6356723525,6356723525,348984161,348984161.0,348984161,348984161,1986053428,1986053428.0,1986053428,1986053428,1977730983,1977730983.0,1977730983,1977730983
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/BatchNorm2d::_call_impl/",696,232,16,2332125013,2332125013.0,2332125013,2332125013,50301999,50301999.0,50301999,50301999,619430759,619430759.0,619430759,619430759,204498642,204498642.0,204498642,204498642
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/BatchNorm2d::_call_impl/BatchNorm2d::forward/",696,232,16,2332125013,2332125013.0,2332125013,2332125013,50301999,50301999.0,50301999,50301999,619430759,619430759.0,619430759,619430759,204498642,204498642.0,204498642,204498642
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/BatchNorm2d::_call_impl/BatchNorm2d::forward/Conv2d::_conv_forward/",232,232,16,913587779,913587779.0,913587779,913587779,46158779,46158779.0,46158779,46158779,142637805,142637805.0,142637805,142637805,204498642,204498642.0,204498642,204498642
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/_DenseLayer::bn_function/",928,232,202,4024598512,4024598512.0,4024598512,4024598512,298682162,298682162.0,298682162,298682162,1366622669,1366622669.0,1366622669,1366622669,1773232341,1773232341.0,1773232341,1773232341
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/_DenseLayer::bn_function/BatchNorm2d::_call_impl/",696,232,202,3842240590,3842240590.0,3842240590,3842240590,294155493,294155493.0,294155493,294155493,1333313175,1333313175.0,1333313175,1333313175,1773232341,1773232341.0,1773232341,1773232341
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/_DenseLayer::bn_function/BatchNorm2d::_call_impl/BatchNorm2d::forward/",696,232,202,3842240590,3842240590.0,3842240590,3842240590,294155493,294155493.0,294155493,294155493,1333313175,1333313175.0,1333313175,1333313175,1773232341,1773232341.0,1773232341,1773232341
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/_DenseLayer::bn_function/BatchNorm2d::_call_impl/BatchNorm2d::forward/Conv2d::_conv_forward/",232,232,202,3324712706,3324712706.0,3324712706,3324712706,286561643,286561643.0,286561643,286561643,831645315,831645315.0,831645315,831645315,1773232341,1773232341.0,1773232341,1773232341
"/module/",3771,0,0,3150103884,3150103884.0,3150103884,3150103884,9315520,9315520.0,9315520,9315520,687476341,687476341.0,687476341,687476341,319687900,319687900.0,319687900,319687900
"/module/stroke_predict/",3771,0,0,3150103884,3150103884.0,3150103884,3150103884,9315520,9315520.0,9315520,9315520,687476341,687476341.0,687476341,687476341,319687900,319687900.0,319687900,319687900
"/module/stroke_predict/DataParallel::_call_impl/",7,0,0,44029,44029.0,44029,44029,0,0.0,0,0,44029,44029.0,44029,44029,0,0.0,0,0
"/module/stroke_predict/DataParallel::_call_impl/DataParallel::forward/",7,0,0,44029,44029.0,44029,44029,0,0.0,0,0,44029,44029.0,44029,44029,0,0.0,0,0
"/module/stroke_predict/DataParallel::_call_impl/DataParallel::forward/DataParallel::gather/",4,0,0,13640,13640.0,13640,13640,0,0.0,0,0,13640,13640.0,13640,13640,0,0.0,0,0
"/module/stroke_predict/DataParallel::_call_impl/DataParallel::forward/DataParallel::gather/gather/",4,0,0,13640,13640.0,13640,13640,0,0.0,0,0,13640,13640.0,13640,13640,0,0.0,0,0
"/module/stroke_predict/DataParallel::_call_impl/DataParallel::forward/DataParallel::gather/gather/gather_map/",4,0,0,13640,13640.0,13640,13640,0,0.0,0,0,13640,13640.0,13640,13640,0,0.0,0,0
"/module/stroke_predict/DataParallel::_call_impl/DataParallel::forward/DataParallel::gather/gather/gather_map/forward/",4,0,0,13640,13640.0,13640,13640,0,0.0,0,0,13640,13640.0,13640,13640,0,0.0,0,0
"/module/stroke_predict/DataParallel::_call_impl/DataParallel::forward/DataParallel::gather/gather/gather_map/forward/genexpr/",4,0,0,13640,13640.0,13640,13640,0,0.0,0,0,13640,13640.0,13640,13640,0,0.0,0,0
